brand_catalog,supplier_id,supplier_name,srm,sku,class_name,marketing_category,discount_pct,non_promo_daily_avg,member_pop_up_sales,lift_pct,incremental_sales,active_on_event,positive_lift
Wayfair US,10539,Half Price Drapes,Madison Carvalho,LFMF4992,Curtains & Drapes,Window,0.2,1405.47,2266.97,0.613,861.4999999999998,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,XKQ10353,Curtains & Drapes,Window,0.05,1256.75,1705.13,0.35700000000000004,448.3800000000001,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,CBMR1343,Blinds and Shades,Window,0.24,1063.02,932.27,-0.12300000000000001,-130.75,True,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,WNPO9085,Curtains & Drapes,Window,0.17,1038.68,929.18,-0.105,-109.50000000000011,True,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,BCMH2130,Curtains & Drapes,Window,0.2,785.36,836.75,0.065,51.389999999999986,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,SYPL6629,Blinds and Shades,Window,0.24,618.68,386.86,-0.375,-231.81999999999994,True,False
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1072,Curtains & Drapes,Window,0.22,602.92,335.94,-0.44299999999999995,-266.97999999999996,True,False
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1075,Curtains & Drapes,Window,0.22,561.98,275.25,-0.51,-286.73,True,False
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,SYPM1670,Blinds and Shades,Window,0.24,552.24,779.79,0.41200000000000003,227.54999999999995,True,True
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,DBHM5628,Curtains & Drapes,Window,0.22,505.84,705.43,0.395,199.58999999999997,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,CBMR1433,Blinds and Shades,Window,0.24,489.54,407.07,-0.168,-82.47000000000003,True,False
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,CBMR1347,Blinds and Shades,Window,0.24,457.84,352.33,-0.23,-105.50999999999999,True,False
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,CBMS1004,Blinds and Shades,Window,0.24,454.09,593.47,0.307,139.38000000000005,True,True
Wayfair US,208974,Pinecrest Home Goods,Supplier Service Desk,PNEC1001,Blinds and Shades,Window,0.2,418.12,961.6,1.3,543.48,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1205,Curtain Hardware & Accessories,Window,0.1,398.01,386.32,-0.028999999999999998,-11.689999999999998,True,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,AAOF1790,Curtains & Drapes,Window,0.22,378.76,553.73,0.462,174.97000000000003,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,RBSD4459,Curtains & Drapes,Window,0.17,372.89,465.33,0.248,92.44,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1193,Curtain Hardware & Accessories,Window,0.1,348.12,486.02,0.396,137.89999999999998,True,True
Wayfair US,11168,Keystone Fabrics,Madison Carvalho,HKL10008,Blinds and Shades,Window,0.22,347.51,218.88,-0.37,-128.63,True,False
Wayfair US,11168,Keystone Fabrics,Madison Carvalho,HKL10004,Blinds and Shades,Window,0.25,318.76,768.42,1.411,449.65999999999997,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,CBMR1028,Blinds and Shades,Window,0.24,311.12,407.75,0.311,96.63,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1441,Curtains & Drapes,Window,0.1,284.89,425.01,0.49200000000000005,140.12,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,XKQ10875,Curtains & Drapes,Window,0.13,268.97,309.8,0.152,40.829999999999984,True,True
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1217,Curtain Hardware & Accessories,Window,0.1,261.9,170.18,-0.35,-91.71999999999997,True,False
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,CBMR1005,Blinds and Shades,Window,0.24,251.37,231.86,-0.078,-19.50999999999999,True,False
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1079,Curtains & Drapes,Window,0.22,243.48,350.81,0.441,107.33000000000001,True,True
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,SYPM2350,Blinds and Shades,Window,0.24,243.42,432.18,0.775,188.76000000000002,True,True
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1126,Curtains & Drapes,Window,0.22,234.47,0.0,-1.0,-234.47,False,False
Wayfair US,11168,Keystone Fabrics,Madison Carvalho,RBSD3757,Blinds and Shades,Window,0.07,217.58,111.19,-0.489,-106.39000000000001,True,False
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1085,Curtains & Drapes,Window,0.22,206.57,0.0,-1.0,-206.57,False,False
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1074,Curtains & Drapes,Window,0.22,204.04,113.9,-0.442,-90.13999999999999,True,False
Wayfair US,18684,"Best Home Fashion, Inc.",Madison Carvalho,HRBE3632,Curtains & Drapes,Window,0.22,201.01,141.92,-0.294,-59.09,True,False
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1044,Curtains & Drapes,Window,0.22,194.62,122.44,-0.371,-72.18,True,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,EDIV1050,Curtains & Drapes,Window,0.1,189.46,191.92,0.013000000000000001,2.4599999999999795,True,True
Wayfair US,268284,BETTER HOME STYLE LLC,Supplier Service Desk,BZTE1774,Sideboards & Buffets,Furniture - Kitchen and Dining,0.16,177.13,0.0,-1.0,-177.13,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,ALMN1007,Curtains & Drapes,Window,0.2,174.6,192.4,0.102,17.80000000000001,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,ASTG8756,Curtains & Drapes,Window,0.22,172.15,235.75,0.369,63.599999999999994,True,True
Wayfair US,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1084,Curtains & Drapes,Window,0.22,164.87,39.1,-0.763,-125.77000000000001,True,False
Wayfair US,10539,Half Price Drapes,Madison Carvalho,TRPT7463,Curtains & Drapes,Window,0.19,163.24,184.85,0.132,21.609999999999985,True,True
Wayfair US,14925,Lichtenberg,Missy Paragamian,HGHM1012,Curtains & Drapes,Window,0.2,162.43,172.32,0.061,9.889999999999986,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,HOHN8152,Curtains & Drapes,Window,0.19,160.04,34.08,-0.787,-125.96,True,False
Wayfair US,218949,Cooper Import & Export LLC,Supplier Service Desk,CSAK1003,Blinds and Shades,Window,0.3,152.64,207.34,0.358,54.70000000000002,True,True
Wayfair US,14925,Lichtenberg,Missy Paragamian,EDIV1316,Curtains & Drapes,Window,0.2,141.41,292.06,1.065,150.65,True,True
Wayfair US,11168,Keystone Fabrics,Madison Carvalho,HKL10002,Blinds and Shades,Window,0.25,139.87,124.77,-0.10800000000000001,-15.100000000000009,True,False
